Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
10879528,Death of a Salesman (Penguin Plays),Arthur Miller,"Miller, Arthur",,"=""0881030171""","=""9780881030174""",4,3.58,Turtleback Books,Library Binding,139,1976,1949,2023/03/24,2023/03/10,,,read,,,,1,0
42036538,"Gideon the Ninth (The Locked Tomb, #1)",Tamsyn Muir,"Muir, Tamsyn",,"=""1250313198""","=""9781250313195""",3,4.20,Tor,Hardcover,448,2019,2019,,2023/03/21,,,read,,,,1,0
25503770,The Northern Caves,nostalgebraist,"nostalgebraist, nostalgebraist",,"=""""","=""""",3,4.02,Archive of Our Own,ebook,174,2015,2015,,2023/03/10,,,read,,,,1,0
6945742,2012: Science or Superstition (The Definitive Guide to the Doomsday Phenomenon) (Disinformation Movie & Book Guides),Alexandra Bruce,"Bruce, Alexandra",,"=""1934708283""","=""9781934708286""",4,3.05,Disinformation Books,Paperback,304,2009,2009,2023/03/16,2023/03/10,,,read,,,,1,0
17724,The Awakening,kate-chopin,"kate-chopin, kate-chopin",,"=""""","=""""",4,3.68,FisicalBook,Library Binding,336,2012,1899,,2023/03/10,,,read,,,,1,0
18505820,How to Read Literature Like a Professor: A Lively and Entertaining Guide to Reading Between the Lines,Thomas C. Foster,"Foster, Thomas C.",,"=""0062301675""","=""9780062301673""",4,3.59,Fisical_Book,Paperback,336,2016,2003,,2023/03/10,,,read,,,,1,0
13585728,Frankenstein (Signet Classics),Mary Wollstonecraft Shelley,"Shelley, Mary Wollstonecraft","Harold Bloom, Douglas Clegg","=""""","=""""",4,3.89,Signet,Mass Market Paperback,258,2013,1818,,2023/03/10,,,read,,,,1,0
1432,Hamlet,William Shakespeare,"Shakespeare, William","Barbara A. Mowat, Paul Werstine","=""""","=""""",3,4.02,Washington Square Press,Paperback,342,2003,1601,,2023/03/10,,,read,,,,1,0
332613,One Flew Over the Cuckoo’s Nest,Ken Kesey,"Kesey, Ken",,"=""""","=""""",4,4.20,Signet,Mass Market Paperback,325,1963,1962,,2023/03/10,,,read,,,,1,0
34484,"Small Gods (Discworld, #13)",Terry Pratchett,"Pratchett, Terry",,"=""0552152978""","=""9780552152976""",5,4.32,Corgi,Paperback,389,2005,1992,,2023/03/10,,,read,,,,1,0
12067,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,"Pratchett, Terry",Neil Gaiman,"=""""","=""""",5,4.25,William Morrow Paperbacks,Mass Market Paperback,491,2006,1990,,2023/03/10,,,read,,,,1,0
